week,week_index,zone_id,audit_group,engagement_volume,engagement_volume_log,campaign_exposure,late_night_share,fraud_signal_rate,failed_payment_rate,verified_channel_share,economic_stress_index,public_event_intensity,lag_1_incidents,lag_4_incidents_mean,rolling_8_incidents_mean,week_sin,week_cos,trend,expected_incidents,incidents,high_risk
2023-01-02,0,Z01,Higher vulnerability,3782.791762,8.238482,0.751977,0.416053,0.215213,0.083525,0.639358,0.382208,0.250768,0,0.000000,0.000000,0.000000,1.000000,0.000000,3.906998,4,0
2023-01-02,0,Z02,Intermediate vulnerability,3045.121228,8.021624,0.497656,0.248150,0.273386,0.114215,0.747894,0.648509,0.138237,0,0.000000,0.000000,0.000000,1.000000,0.000000,4.804684,4,0
2023-01-02,0,Z03,Lower vulnerability,2715.141641,7.906968,0.574807,0.155223,0.152221,0.090338,0.772409,0.252728,0.112530,0,0.000000,0.000000,0.000000,1.000000,0.000000,1.102741,0,0
2023-01-02,0,Z04,Higher vulnerability,2487.966301,7.819623,0.565434,0.496353,0.390810,0.154745,0.741007,0.945732,0.065557,0,0.000000,0.000000,0.000000,1.000000,0.000000,15.099807,15,1
2023-01-02,0,Z05,Intermediate vulnerability,3977.605767,8.288687,0.129467,0.129879,0.235497,0.091941,0.761039,0.444243,0.279110,0,0.000000,0.000000,0.000000,1.000000,0.000000,4.271389,8,0
2023-01-02,0,Z06,Lower vulnerability,4161.539747,8.333881,0.800465,0.377653,0.255538,0.110362,0.645305,0.460489,0.121852,0,0.000000,0.000000,0.000000,1.000000,0.000000,3.924536,5,0
2023-01-02,0,Z07,Higher vulnerability,4038.311422,8.303830,0.517448,0.090638,0.110504,0.047195,0.702003,0.485047,0.275238,0,0.000000,0.000000,0.000000,1.000000,0.000000,2.741343,6,0
2023-01-02,0,Z08,Intermediate vulnerability,2382.673257,7.776398,0.293913,0.384076,0.279562,0.074226,0.750160,0.097319,0.146542,0,0.000000,0.000000,0.000000,1.000000,0.000000,3.586978,5,0
2023-01-02,0,Z09,Lower vulnerability,4654.560221,8.445818,0.168514,0.440193,0.097251,0.059667,0.809749,0.369057,0.228688,0,0.000000,0.000000,0.000000,1.000000,0.000000,2.345554,0,0
2023-01-02,0,Z10,Higher vulnerability,4364.027075,8.381380,0.436404,0.163784,0.225873,0.066339,0.586268,0.395896,0.173036,0,0.000000,0.000000,0.000000,1.000000,0.000000,4.074815,2,0
